*bruski	browbeat
ĝirebla	endorsable
ĝiri	endorse
ĝirilo	commercial paper, negotiable instrument / money transfer form
ĝiriloj	money transfer forms
ĝirindikilo	blinker
ĝiro	endorsement
ĝis	until, till / till, until, up to, as far as
ĝis ambaŭ randoj	full justification
ĝis antaŭ minuto	until a minute ago
ĝis antaŭnelonge	until recently
ĝis hodiaŭ matene	until this morning
ĝis kia grado	to what extent
ĝis la	so long, (see you) later, bye
ĝis la nuna tempo	until now
ĝis la revido	goodbye, so long
ĝis la sunleviĝo	until sunrise
ĝis laj	(ĝis la) so long, (see you) later, bye
ĝis lajn	(ĝis la) so long, (see you) later, bye
ĝis lan	(ĝis la) so long, (see you) later, bye
ĝis malfrua nokto	until late at night
ĝis malfrue en la nokto	until late at night
ĝis nun	up to now, yet
ĝis profunda nokto	until late at night
ĝis revido	bye, goodbye, so long
ĝis sia plena kresko	to one’s full height
ĝis tia grado ke	to such an extent that
ĝis via reveno	until your return
ĝis!	so long!, goodbye!
ĝis-streko	(en, n) dash
ĝisatendi	bide, abide, stay for, wait, await, wait for / to bide, abide, stay for, await, wait (for)
ĝisbaza komplemento	radix complement
ĝisdata	up-to-date
ĝisdata muziko	modern music
ĝisdatiga	updating, update, updated, service (pack)
ĝisdatiga informpeto	update query
ĝisdatiga pakaĵo	service pack, update package
ĝisdatiga pako	update package
ĝisdatigeto	little update, service update
ĝisdatigi	to update
ĝisdatigo	update, updating
ĝisdatigo de dosiero	file updating
ĝisdektage	up to ten days
ĝisfine	to the end, until the end
ĝisfunda	thoroughgoing
ĝisfunde	thoroughly
ĝisgenua	to the knees, knee-length
ĝisgenue	up to one’s knees, knee-deep
ĝisi	to say goodbye
ĝisiri	to arrive at
ĝiskole	up to one’s neck
ĝiskore	right to the heart, thoroughly
ĝislimi	to extend to
ĝismaleola	ankle-deep
ĝismentone	up to one’s chin
ĝismorta batalo	battle to the death
ĝismorte	until death
ĝisnaŭze	ad nauseum
ĝisnombrado	countdown
ĝisnuna	present
ĝisnune	until now, until this day
ĝiso	goodbye, farewell
ĝisosta	diehard / die-hard
ĝisoste	to the bone
ĝisoste fortigita	chilled or frozen to the bone
ĝisoste malseka	completely soaked
ĝisostulo	die-hard
ĝispinte	to the top of
ĝisrandigi	to align, justify / allign
ĝisrandigi dekstren	to align right
ĝisrandigi maldekstren	to align left
ĝisrandigi malsupren	to align bottom
ĝisrandigi supren	to align to top
ĝisrandigo	alignment, justification
ĝisrandigo dekstren	flush right, right alignment, right justify
ĝisrandiĝi	to brim
ĝisrevidi	to say goodbye
ĝissate	until full, until satisfied
ĝistalia	waist-high
ĝistalie	up to one’s waist, waist-deep
ĝistiam	until that time
ĝistiama	hitherto, until then, until that time
ĝistombe	to the grave
ĝisvivi	to go through, live to see / survive until
ĝiuĝico	jiu-jitsu
ĝo	name of the letter Ĝ
ĝogi	to jog
ĝoja	happy, glad
ĝojado	jubilation, rejoicing
ĝoje	joyfully, happily
ĝojeco	gladness, joy
ĝojega	jovial, jubilant
ĝojege	very joyfully
ĝojegi	to exult / rejoice
ĝojego	exultation
ĝojfajro	bonfire
ĝojfrapo	burst of joy
ĝoji	to be glad, enjoy, rejoice
ĝojiga	joyful
ĝojiga pilolo	happy pill
ĝojige	joyfully
ĝojigi	make glad
ĝojiĝi	to become happy, become joyful
ĝojkaŭzo	reason for joy, cause of joy
ĝojkriegi	to shout with joy
ĝojkrii	to shout with joy
ĝojkrio	shout of joy
ĝojo	gladness, joy
ĝojplena	full of joy
ĝojvenki	to overcome with joy
ĝonko	junk
ĝuadi	to continually enjoy
ĝuado	enjoyment
ĝuamo	hedonism
ĝuegi	to relish
ĝuego	delight, relish
ĝui	delight in, enjoy
ĝuinda	worth enjoying, enjoyable
ĝuinde	enjoyably
ĝungario	Dzungaria
ĝuo	delight, joy
ĝuo por la okuloj	eye candy
ĝuplena	blissful, blessed
ĝusta	correct, exact, proper, right
ĝustakvante	in the right amount(s)
ĝustateme	on the right topic
ĝustatempa	opportune, seasonable, timely, punctual
ĝustatempe	at the right time, in time / in (the nick of) time, just in time, timely, at the right moment, at the right time
ĝustatempeco	timeliness
ĝuste	just, exactly, okay, right
ĝuste las	(ĝuste li) to exactly he, he of all people
ĝuste li	to exactly he, he of all people
ĝusteco	accuracy, exactitude, exactness, rightness
ĝusti	to be right, be correct, be proper
ĝustiga	corrective
ĝustiga tavolo	adjustment layer
ĝustiga tenilo	adjustment handle
ĝustigi	adjust, put right
ĝustigilo	debugger
ĝustigo	adjustment, checkout, debugging, error correction, amendment, correction
ĝustiĝi	to adjust
ĝustokaze	in that case
Ĥabakuk	Habakkuk
Ĥabakuko	Habakkuk
Ĥagaj	Haggai
Ĥagajo	Haggai (tenth of the minor prophets)
Ĥajbaro	Khyber
Ĥaldeio	Chaldea
Ĥaldeo	Chaldea
Ĥaldeujo	Chaldea
Ĥameleono	Chamaeleon (constellation); chameleon
Ĥamidaj lingvoj	Hamitic languages
Ĥamido	Hamite
Ĥamo	Ham
Ĥanoĥ	Enoch
Ĥanoĥo	Enoch
Ĥanuko	Chanukah, Hanukkah
Ĥarkovo	Harkow
Ĥarono	Charon
Ĥartumo	Khartoum
Ĥazarujo	Chazaria, Khazar Empire, Khazaria
Ĥeopso	Cheops, Khufu
Ĥeroneo	Chaeronea
Ĥimero	Chimera
Ĥinio	China
Ĥinlando	China
Ĥino	Chinese (man)
Ĥinujo	China
Ĥirono	Chiron
ĥakasa	Khakas
ĥalato	bathrobe, robe, gown
ĥalazio	chalazion
ĥaldea	Chaldean
ĥaldeano	Chaldean
ĥaldeo	Chaldean
ĥaldeujo	Chaldea
ĥalifo	caliph
ĥalifujo	caliphate
ĥalkogeno	chalcogen
ĥalkolitiko	Chalcolithic
ĥameleona	chameleon-esque, chameleon-like
ĥameleonedoj	chamaeleonidae
ĥameleono	chameleon
ĥamemoro	cloudberry
ĥamemoroj	cloudberries
ĥamida	Hamitic
ĥamido	Hamite
ĥamsino	khamsin
ĥaneco	khanship
ĥanejo	khan-land
ĥano	khan
ĥanoh	Enoch
ĥanto	Khanty, Ostiak
ĥanujo	khanate
ĥaosa	chaotic
ĥaose	chaotically
ĥaosigi	to cause chaos
ĥaoso	chaos, tangle
ĥaradriedoj	pluviers
ĥaradrio	plover
ĥaradrioformaj	Charadriiformes (birds)
ĥartumo	Khartoum, Khartum
ĥasidismo	Chassidim, Hasidim
ĥasido	Chasid, Hasid
ĥasidoj	Hassidim, Hasidim
ĥato	hut
ĥazaro	Chazar, Khazar
ĥelonio	green sea turtle
ĥemia	chemical
ĥemiaĵo	chemical
ĥemiaĵoj	chemicals
ĥemie	chemically
ĥemiinstruisto	chemistry teacher
ĥemiisto	chemist
ĥemio	chemistry
ĥemiterapio	chemotherapy
ĥilo	chyle
ĥimera	chimerical
ĥimero	Chimera / chimera
ĥimerulo	freakish man
ĥimo	chyme, chymus
ĥina	Chinese
ĥina Novjaro	Chinese New Year
ĥina inko	Indian ink
ĥina lingvo	Chinese, Chinese language
ĥina novjaro	Chinese New Year
ĥinino	Chinese, Chinese lady, Chinese woman; quinine
ĥinio	China
ĥino	Chinese
ĥinujo	China
ĥio	chi; Chios
ĥiragro	arthritis, arthritism
ĥiromanciisto	palmist
ĥiromancio	palmistry
ĥironekto	water opossum, yapok
ĥiroptero	bat
ĥirurga	surgical
ĥirurgia	surgery
ĥirurgie	surgically
ĥirurgiejo	surgery
ĥirurgiisto	surgeon
ĥirurgio	surgery (the science)
ĥirurgo	surgeon
ĥitino	chitin
ĥo	name of the letter Ĥ
ĥolecistito	cholecystitis
ĥolera	hot-tempered, fiery, choleric
ĥolero	cholera
ĥolesterolo	cholesterol
ĥora	choral
ĥoralkanto	chant
ĥoralo	choral
ĥorano	choir singer, choirboy, choirgirl
ĥoraro	chorus
ĥoraĵo	carol, choral
ĥordo	notochord
ĥordulo	chordate
ĥorduloj	chordates
ĥore	in unison, as a chorus, as a group (speaking or singing)
ĥorejo	coir loft / chancel, choir loft
ĥoreo	Saint Vitus's dance / (Sydenham’s) chorea, Saint Vitus’s dance
ĥoreografio	choreography
ĥorestro	choir director, choirmaster
ĥoristo	chorister
ĥorjambo	choriamb
ĥorkanto	chorale
ĥoro	chorus, coir / chorus, choir
Ĵargonbesto	Jabberwock
Ĵerzo	Jersey
Ĵulo	Joule, James Joule
Ĵuno	Juneau
Ĵuraso	Jurassic
ĵaboto	jabot
ĵaka	plug
ĵaketo	jacket
ĵako	jack, topcoat, tunic
ĵaluza	jealous
ĵaluze	jealously
ĵaluzi	to be jealous
ĵaluzio	jalousie, Venetian blind
ĵaluzo	jealousy
ĵamado	jamming
ĵamboreo	jamboree
ĵami	to jam (radio)
ĵargono	jargon / slang
ĵaro	stone jar
ĵartelo	garter, (woman’s) suspender
ĵazbando	jazz-band
ĵazisto	jazz musician
ĵazkantisto	jazz singer
ĵazo	jazz
ĵazroko	fusion (rock)
ĵaztrupo	jazz-band
ĵaŭde	on Thursdays
ĵaŭdo	Thursday
ĵeleo	jelly
ĵerzo	Jersey / cardigan, jersey, sweater
ĵetadi	to throw, keep on throwing
ĵetado de monero	join toss
ĵetarmilo	missile
ĵetaro	over
ĵetaĵo	projectile
ĵetbulo	bocce ball, bowl, bowling ball
ĵetdisko	disc, discus, disk
ĵetdistanco	throwing distance
ĵetegi	to hurl
ĵeteti	to toss
ĵetfermi	to bang, slam
ĵetfermo	bang
ĵeti	throw
ĵeti la kulpon sur iun	to place the blame on someone
ĵeti sin sur	leap upon, pounce upon, spring upon
ĵeti sur	abdicate to
ĵetilo	sling
ĵetisto	pitcher
ĵetita	thrown
ĵetita ombro	drop shadow
ĵetiĝadi	to pace, roll
ĵetiĝante	plunging
ĵetiĝi	to get thrown
ĵetkaptilo	bola, bolas
ĵetkovri	to sprinkle, strew
ĵetkubludo	dice game
ĵetkubo	die (cubical object)
ĵetlanco	javelin
ĵetmalfermi	to be thrown open
ĵetmaŝino	catapult
ĵeto	throw, toss, pitch
ĵetono	chip, disk, token
ĵetonvendejo	token booth
ĵetpafi golon	to shoot a goal (sports)
ĵetponardo	javelin
ĵibo	jib
ĵigo	jig
ĵinglo	jingle
ĵino	genie
ĵinrikŝo	rickshaw
ĵinso	jeans
ĵinzo	jeans
ĵipo	jeep
ĵo	name of the letter Ĵ
ĵogado	jogging
ĵogi	to jog
ĵokeo	jockey
ĵokera	wildcard, pattern-matching
ĵokera esprimo	wildcard expression
ĵokera signo	pattern-matching character, wildcard character
ĵokero	joker, wildcard / wild card
ĵokersigno	wildcard, wildcard character / wild card
ĵokervorto	wildcard, wildcard character
ĵonglado	jugglery
ĵongli	to conjure, juggle
ĵonglisto	conjurer, juggler
ĵonko	junk (type of ship)
ĵosaĵo	ball
ĵosi	to earth, earth up, hill, hill up
ĵudi	to practice judo
ĵudisto	judo wrestler
ĵudo	judo
ĵulo	joule
ĵunkciigi	actuate
ĵuno	Juneau
ĵura	sworn
ĵura forlaso	abjuration, renunciation
ĵurasa	Jurassic
ĵuraso	Jurassic
ĵuratesti	to adjure
ĵurdeklaranto	affiant
ĵurdeklarinto	affiant
ĵurdeklaro	affidavit
ĵurdeklaronto	affiant
ĵuri	swear
ĵurigi	to swear (in) / adjure
ĵurigo	administration of the oath
ĵurintaro	jury
ĵurintino	jurywoman
ĵurinto	juror, juryman
ĵurio	jury
ĵurligi	to bind by oath
ĵurligita	bound by oath
ĵurnalaĉo	‘rag’ (publication)
ĵurnalismo	journalism
ĵurnalistino	journalist, female journalist
ĵurnalisto	journalist
ĵurnalo	daily paper, journal, newspaper
ĵurnalvendejo	paper shop
ĵuro	oath
ĵurpeti	to petition
ĵurrompi	to commit perjury, perjure
ĵurrompo	perjury / breach of oath
ĵus	just, just now / just (now), a moment ago
ĵusa	recent
ĵusa emeritiĝo	recent retirement
ĵusaĵo	predecessor
ĵuso	predecessor
ĵuĵuo	juju
Ŝafo	Aries; sheep (singular)
Ŝakjamunio	Shakyamuni
Ŝanhajo	Shanghai
Ŝanona	Shannon
Ŝanona Flughaveno	Shannon Airport
Ŝanona komunikmodelo	Shannon’s model of communication
Ŝanono	Shannon
Ŝario	Sharia, Shariah, Sharīʿah
Ŝarĵo	Sharjah
Ŝekspiro	Shakespeare
Ŝeolo	hell
Ŝetlandinsularo	Shetland Islands, Shetlands
Ŝetlandoj	Shetland Islands, Shetlands
Ŝintoismo	Shintoism
Ŝintoo	Shinto, Shintoism
Ŝivaismo	shivaïsme
Ŝivao	Shiva (Hindu god)
Ŝlejero	Schleyer
Ŝlesvigholstinio	Schleswig-Holstein
Ŝlesvigo-Holŝtejno	Schleswig-Holstein
Ŝopeno	Chopin
Ŝtata Konsilo	State Council
Ŝtondomo	Stonehouse
Ŝtonhaveno	Stonehaven
Ŝtono de Rosetta	Rosetta Stone
Ŝvabio	Swabia
Ŝvabujo	Swabia
ŝabano	Sha'ban / Sha’ban
ŝabato	Sabbath
ŝablon-datumbazo	template database
ŝablona	patterned, stereotyped
ŝablona rekono	pattern matching
ŝablonaĵo	stencil
ŝablondatumbazo	template database
ŝabloni	to pattern, stencil
ŝablono	pattern, stencil, template, templet / jig, pattern, stencil, template
ŝafa	ovine, sheep
ŝafa desinfektaĵo	sheep dip
ŝafa fromaĝo	ewe’s cheese
ŝafa viando	mutton, lamb
ŝafaro	flock of sheep, fold of sheep
ŝafaĵo	mutton
ŝafbleki	to baa, bleat
ŝafbleko	baa
ŝafejo	fold, pen / (sheep)fold, (sheep) pen
ŝaffelo	sheepskin
ŝaffemuro	leg of mutton
ŝafgrifo	bearded vulture
ŝafhundo	sheep-dog / sheep dog
ŝafida	lamb, of lamb
ŝafidaĵo	lamb
ŝafido	lamb
ŝafino	ewe
ŝafisto	shepherd
ŝaflana	fleece, fleecy
ŝaflano	fleece
ŝafledo	sheepskin
ŝafo	sheep
ŝafoviro	ram
ŝafpaŝtisto	shepherd
ŝafsaltado	leapfrog
ŝafto	arbor, shaft, spindle
ŝaftripaĵo	haggis
ŝagrino	shagreen, sharkskin
ŝahido	shaheed
ŝaho	shah
ŝajna	apparent, seeming, illusive, illusory, sham, suspect
ŝajnas al mi, ke	it seems to me that
ŝajnas dube ĉu	it is questionable whether
ŝajnbrilo	luster, glitter
ŝajne	apparently, seemingly
ŝajneco	semblance
ŝajni	appear, appear to be, seem / to appear (to be), look, seem
ŝajni estas	(ŝajni esti) to seem
ŝajni esti	to seem
ŝajniga	false, mock, sham, simulate
ŝajnigaĵo	act, pretence, pretense, charade, sham
ŝajnigi	feign, pretend / to dissemble, pretend, sham, simulate, feign
ŝajnigita	affected
ŝajnigo	act, dissimulation, pretence, pretense, charade, sham, simulation, pretending, show
ŝajniĝi	to sham
ŝajniĝo	sham
ŝajnkuraĝulo	griper, grumbler
ŝajno	appearance
ŝajnpiedo	pseudopod
ŝak!	check!
ŝaka tabulo	chessboard
ŝakalo	jackal
ŝakfiguro	chess figure, chess piece
ŝaki	to check (chess)
ŝakludo	(game of) chess
ŝakmat!	checkmate!
ŝako	check, chess
ŝakoj	chess pieces
ŝakon!	check!
ŝakpeco	chess piece, chessman
ŝakri	to peddle / trade illegally
ŝakristo	huckster, peddler, black marketeer
ŝakristo en la nigra merkato	black marketeer
ŝaktabula	checkered
ŝaktabula memoro	interleaved memory, multibank memory
ŝaktabulo	chessboard, chess-board
ŝakto	shaft (mine, elevator)
ŝakuhaĉo	shakuhachi (flute)
ŝaleto	wrap
ŝalmi	to pipe
ŝalmo	bellows, pipe, windbag, stalk / straw; shawm
ŝalo	shawl
ŝaloto	scallion
ŝalta registro	switch register
ŝaltalgebro	switching algebra
ŝalthorloĝo	timer
ŝalti	switch, turn on / to switch (on), turn on, activate, enable
ŝaltileto	jumper
ŝaltilo	switch
ŝaltita	on, enabled, switched on, powered on
ŝalto	act of turning something on, closing a circuit
ŝalupego	launch, longboat
ŝalupo	boat, ship's boat, shallop, sloop / longboat, sloop, launch (boat)
ŝamanismo	shamanism
ŝamano	shaman
ŝamanoj	shamans (not shamen)
ŝamiseno	shamisen
ŝamo	chamois, chamois leather
ŝampinjono	mushroom
ŝampui	to shampoo
ŝampuo	shampoo
ŝanca	lucky
ŝanca renkonto	chance meeting
ŝance	by accident
ŝanceli	shake
ŝanceligadi	to waffle
ŝanceliiĝi	to wobble
ŝanceliĝa	irresolute, vacillating
ŝanceliĝanta	hesitant
ŝanceliĝe	falteringly, hesitantly, hesitatingly
ŝanceliĝema	indecisive
ŝanceliĝemo	infirmity of purpose, indecision, irresolution
ŝanceliĝi	hesitate, waver / to demur, hesitate, lurch, reel, stagger, vacillate, wav, waddle
ŝanceliĝo	hesitation, perplexity
ŝanco	chance, luck
ŝancon favas	(ŝancon favi) to have a chance
ŝancon favi	to have a chance
ŝanelo	channel
ŝanhaja	Shanghainese, Shanghai language, Wu Chinese, Wu
ŝanhajo	Shanghai
ŝankro	canker, chancre, venereal ulcer
ŝanono	shannon
ŝanĝa	variable
ŝanĝado	mutation
ŝanĝaĵo	change
ŝanĝebla	changeable, fickle, variable
ŝanĝema	inconstant, unstable
ŝanĝi	change, turn
ŝanĝi felon	to cast (skin, etc)
ŝanĝi grandecon	to resize
ŝanĝi nomon	to rename
ŝanĝi plumojn	to molt (birds)
ŝanĝigi	to change (something)
ŝanĝita intervalo	dirty range
ŝanĝita inventaro	delta inventory
ŝanĝiĝema	changeable
ŝanĝiĝi	to alter, change
ŝanĝiĝo	alteration, change, conversion, transformation
ŝanĝlisto de inventaro	delta inventory file
ŝanĝmono	change
ŝanĝo	about-face, alteration, change, conversion, transformation
ŝanĝo al malplibono	change for the worse
ŝanĝo-rapido	exchange rate
ŝanĝohistorio	change history
ŝanĝohistorioj	change histories
ŝanĝokompleta	full-differential, full differential
ŝanĝokompleta savkopio	full differential backup
ŝanĝokompleta sekurkopio	full differential backup
ŝanĝolisto	change list
ŝanĝomalfaro	rollback
ŝanĝomarko	change marker
ŝanĝomastrumado	change management
ŝanĝoprotokolo	change journal, change log
ŝanĝorapido	exchange rate
ŝanĝospura modulo	tracker module
ŝanĝospurado	tracking
ŝanĝospuri	to track (differences)
ŝanĝospurilo	tracker
ŝarado	charade
ŝarga	loading
ŝarga programo	loader program
ŝarga tiparo	downloadable font, soft font
ŝargado	loading
ŝargeco	charge (charged state)
ŝargeco de la baterio	battery charge
ŝargi	charge, load
ŝargilo	charger, loader
ŝargita	loaded
ŝargiĝi	to be loaded
ŝarglevilo	advance lever
ŝargmodulo	load module
ŝargo	charge
ŝargodosiero	boot record
ŝargokapo	warhead
ŝargomapo	load map
ŝargomodulo	load module
ŝargujo	breech (of gun)
ŝarifo	sharif, sherif
ŝario	sharia
ŝarko	shark
ŝarĝa	burdensome
ŝarĝanta	carrying, loaded with
ŝarĝatesto	bill of lading, consignment note, waybill
ŝarĝavio	cargo aircraft, freight carrier
ŝarĝaĵo	charge
ŝarĝaŭtisto	truck driver
ŝarĝaŭto	lorry, truck
ŝarĝaŭtoj	trucks, lorries
ŝarĝbarko	barge
ŝarĝbesto	beast of burden
ŝarĝbiciklo	carrier cycle, carrier tricycle
ŝarĝe	loaded (with)
ŝarĝega	burdensome
ŝarĝi	burden, load
ŝarĝilo	charger
ŝarĝita	burdened, loaded, laden
ŝarĝlevilo	crane
ŝarĝlifto	elevator, hoist
ŝarĝmodulo	load module
ŝarĝo	burden, charge, load
ŝarĝoado	lading
ŝarĝobalancado	load balancing
ŝarĝobalancilo	load balancer
ŝarĝobesto	beast of burden
ŝarĝodistribuado	load balancing
ŝarĝodistribuilo	load balancer
ŝarĝorejŝo	loading factor
ŝarĝoveturilo	cart, tumbrel
ŝarĝselo	pack saddle
ŝarĝvagono	wagon
ŝarĝventurilo	wagon for hauling freight
ŝarĝveturilo	wagon
ŝatano	subject of a state
ŝatanto	fan
ŝatata	favorite, liked, appreciated
ŝatateco	esteem, regard, respect
ŝatbutono	like button
ŝategi	to be fond of, love
ŝati	appreciate, like
ŝatinda	likable / likeable, reputable
ŝato	appreciation, high opinion, reputation
ŝatokupo	hobby
ŝatokupoj	hobbies
ŝaumo	foam, froth
ŝaumsapo	shaving cream
ŝaĵnigo	feint
ŝaŭma	effervescent, sparkling
ŝaŭmadi	to effervesce
ŝaŭmamasiĝi	to become full of foam
ŝaŭmaĵo	lather
ŝaŭmi	to foam, froth
ŝaŭmigita volumenaĵo	foamed aggregate
ŝaŭminhibilo	antifoaming agent, antisudsing agent
ŝaŭmkulero	skimmer
ŝaŭmo	foam, froth
ŝaŭmoaĵo	foam
ŝebeko	xebec
ŝedo	penthouse, shed
ŝejko	sheik, sheikh
ŝekelo	shekel
ŝekereo	shekere
ŝeketo	shoulder-straps
ŝeklo	bow of padlock
ŝelako	shellac
ŝelaliro	shell access
ŝelaĵo	rind
ŝeleto	film
ŝeli	to pare
ŝelketo	shoulder-strap / shoulder straps
ŝelko	braces, suspenders
ŝelkoj	braces, suspenders
ŝelo	bark, husk, peel, shell
ŝeloaĵo	paring
ŝelvariablo	substitution
ŝenoprazo	chives
ŝeolo	abode of the dead
ŝerca	facetious, joking
ŝercado	fun
ŝercaĵo	gag, joke
ŝercbabilado	badinage
ŝerce	jokingly, in jest
ŝercema	jocular, playful / playful, witty
ŝercemulo	buffoon, clown
ŝerci	jest, joke
ŝerco	gag, joke
ŝercoado	drollery
ŝerculo	jokester
ŝereo	sherry
ŝerifo	sheriff
ŝero	offshore reef, islet
ŝerpo	sherpa
ŝetlandinsularo	Shetland Islands
ŝi	her, she
ŝia	her
ŝiaco	shiatsu
ŝiacuo	shiatsu
ŝiboleto	shibboleth
ŝijaismo	Shiiteism
ŝijaisto	Shiite
ŝika	chic
ŝildeto	sign, tag
ŝildfiliko	buckler fern
ŝildi	to shield
ŝildo	shield, sign-board / buckler, shield, sign, plaque, tag
ŝilingo	shilling
ŝilo	chyle
ŝima	moldy, mouldy
ŝima odoro	moldy smell, mouldy smell
ŝimi	get moldy, get mouldy / to get moldy
ŝimiĝi	to get moldy / get mouldy
ŝimo	mold, mould / mildew, mold
ŝin	her
ŝindo	shingle / wooden tile
ŝindoeto	shingle
ŝinko	ham
ŝintoismo	Shintoism
ŝintoo	Shintoism
ŝio	hers
ŝipa	nautical, naval
ŝipalligilo	mooring line, fast
ŝipamiko	shipmate
ŝipanaro	crew
ŝipano	crew member, sailor
ŝiparestro	admiral
ŝipareto	flotilla
ŝiparo	fleet
ŝipbeko	bow
ŝipboato	ship’s boat
ŝipbordo	edge of a ship
ŝipe	by ship
ŝipego	ark
ŝipejo	dock
ŝipekipisto	boat supplier
ŝipestro	captain (ship), shipmaster
ŝipeto	craft (vessel), yacht, small ship
ŝipfarejo	shipyard
ŝipfaristo	shipwright
ŝipflago	flag
ŝipflanke	alongside (a ship)
ŝipflanko	side of a ship
ŝipfrajtaĵo	ships cargo
ŝipi	to cruise, navigate, sail, ship
ŝipintendanto	steward (of ship)
